condition,epoch_index,band,power_type,roi,value
Pre,20,low_gamma,relative,left_motor,0.016983443924093
Pre,20,alpha,absolute,right_motor,3.0677495291274385e-11
Pre,20,alpha,relative,right_motor,0.6699073382118258
Pre,20,beta,absolute,right_motor,3.2899968696551815e-12
Pre,20,beta,relative,right_motor,0.07184396981401622
Pre,20,low_gamma,absolute,right_motor,3.509548206895123e-13
Pre,20,low_gamma,relative,right_motor,0.0076638332930521694
Pre,21,alpha,absolute,left_motor,2.263408654629093e-11
Pre,21,alpha,relative,left_motor,0.5605630859276318
Pre,21,beta,absolute,left_motor,3.6943449039846516e-12
Pre,21,beta,relative,left_motor,0.09149533715987401
Pre,21,low_gamma,absolute,left_motor,4.997395557928099e-13
Pre,21,low_gamma,relative,left_motor,0.01237671098333887
Pre,21,alpha,absolute,right_motor,2.6010841799806902e-11
Pre,21,alpha,relative,right_motor,0.6096909661040174
Pre,21,beta,absolute,right_motor,3.040307706142469e-12
Pre,21,beta,relative,right_motor,0.07126444260736121
Pre,21,low_gamma,absolute,right_motor,3.534320656178179e-13
Pre,21,low_gamma,relative,right_motor,0.008284404603170727
Pre,22,alpha,absolute,left_motor,3.3111589936273595e-11
Pre,22,alpha,relative,left_motor,0.6239618728496935
Pre,22,beta,absolute,left_motor,4.023635910676343e-12
Pre,22,beta,relative,left_motor,0.07582225448318165
Pre,22,low_gamma,absolute,left_motor,4.129318411675904e-13
Pre,22,low_gamma,relative,left_motor,0.007781375810405992
Pre,22,alpha,absolute,right_motor,3.7903815510671213e-11
Pre,22,alpha,relative,right_motor,0.7045869915688838
Pre,22,beta,absolute,right_motor,2.9083277738088303e-12
Pre,22,beta,relative,right_motor,0.05406236520086696
Pre,22,low_gamma,absolute,right_motor,3.1671179250379086e-13
Pre,22,low_gamma,relative,right_motor,0.005887296729053833
Pre,23,alpha,absolute,left_motor,2.0047013395236198e-11
Pre,23,alpha,relative,left_motor,0.643439599068677
Pre,23,beta,absolute,left_motor,2.3277953976280022e-12
Pre,23,beta,relative,left_motor,0.07471415855488961
Pre,23,low_gamma,absolute,left_motor,3.757778433069278e-13
Pre,23,low_gamma,relative,left_motor,0.01206116542495845
Pre,23,alpha,absolute,right_motor,2.5583733170012134e-11
Pre,23,alpha,relative,right_motor,0.7027363520660255
Pre,23,beta,absolute,right_motor,2.1445497265574284e-12
Pre,23,beta,relative,right_motor,0.058906690499400824
Pre,23,low_gamma,absolute,right_motor,3.326131866004168e-13
Pre,23,low_gamma,relative,right_motor,0.009136249813401344
Pre,24,alpha,absolute,left_motor,2.3885584206507192e-11
Pre,24,alpha,relative,left_motor,0.5615064805285827
Pre,24,beta,absolute,left_motor,2.595435823267836e-12
Pre,24,beta,relative,left_motor,0.061013958124746116
Pre,24,low_gamma,absolute,left_motor,4.224923429441466e-13
Pre,24,low_gamma,relative,left_motor,0.009932023704582998
Pre,24,alpha,absolute,right_motor,2.6551147576504456e-11
Pre,24,alpha,relative,right_motor,0.5630697044329129
Pre,24,beta,absolute,right_motor,2.421488151897443e-12
Pre,24,beta,relative,right_motor,0.05135245525821444
Pre,24,low_gamma,absolute,right_motor,3.6807715300833896e-13
Pre,24,low_gamma,relative,right_motor,0.007805805498829555
Pre,25,alpha,absolute,left_motor,2.8777185870600108e-11
Pre,25,alpha,relative,left_motor,0.44171431396198674
Pre,25,beta,absolute,left_motor,5.544919513078902e-12
Pre,25,beta,relative,left_motor,0.08511153000531406
Pre,25,low_gamma,absolute,left_motor,4.907352858934998e-13
Pre,25,low_gamma,relative,left_motor,0.007532522503072201
Pre,25,alpha,absolute,right_motor,2.4484156649046386e-11
Pre,25,alpha,relative,right_motor,0.49558061605652937
