condition,epoch_index,band,summary_type,value
Pre,8,alpha,within_left,0.4775367322281798
Pre,8,alpha,within_right,0.41898824812483665
Pre,8,alpha,interhemispheric,0.28729158622520123
Pre,8,alpha,anterior_posterior,0.46172696511194405
Pre,9,alpha,within_left,0.20928297437123355
Pre,9,alpha,within_right,0.22190693829272817
Pre,9,alpha,interhemispheric,0.35078691185372063
Pre,9,alpha,anterior_posterior,0.22052062815597606
Pre,10,alpha,within_left,0.2775200728109012
Pre,10,alpha,within_right,0.31435051610050824
Pre,10,alpha,interhemispheric,0.26142794601277525
Pre,10,alpha,anterior_posterior,0.36084456351507643
Pre,11,alpha,within_left,0.5930662409035122
Pre,11,alpha,within_right,0.5731841121442646
Pre,11,alpha,interhemispheric,0.5130568140403463
Pre,11,alpha,anterior_posterior,0.5235275925272438
Pre,12,alpha,within_left,0.44800853318907075
Pre,12,alpha,within_right,0.33172311331489635
Pre,12,alpha,interhemispheric,0.42123415738641906
Pre,12,alpha,anterior_posterior,0.4037923956478357
Pre,13,alpha,within_left,0.537648809182732
Pre,13,alpha,within_right,0.5146158878256938
Pre,13,alpha,interhemispheric,0.33140351582894495
Pre,13,alpha,anterior_posterior,0.47507927040408404
Pre,14,alpha,within_left,0.25986568585203024
Pre,14,alpha,within_right,0.22846741735258072
Pre,14,alpha,interhemispheric,0.3683012488246988
Pre,14,alpha,anterior_posterior,0.2420456644023917
Pre,15,alpha,within_left,0.32625470046872523
Pre,15,alpha,within_right,0.41395297735410697
Pre,15,alpha,interhemispheric,0.25170564045474864
Pre,15,alpha,anterior_posterior,0.2831706611620529
Pre,16,alpha,within_left,0.32675848341325314
Pre,16,alpha,within_right,0.24141596267319357
Pre,16,alpha,interhemispheric,0.15107369443645366
Pre,16,alpha,anterior_posterior,0.28716163557604607
Pre,17,alpha,within_left,0.4037846196768439
Pre,17,alpha,within_right,0.2883800378745767
Pre,17,alpha,interhemispheric,0.2604098811858517
Pre,17,alpha,anterior_posterior,0.3508038016739918
Pre,18,alpha,within_left,0.39942249159381393
Pre,18,alpha,within_right,0.40577124461392955
Pre,18,alpha,interhemispheric,0.2248900428067696
Pre,18,alpha,anterior_posterior,0.3260389132522207
Pre,19,alpha,within_left,0.32083714474172437
Pre,19,alpha,within_right,0.3143330513615974
Pre,19,alpha,interhemispheric,0.3434263429070807
Pre,19,alpha,anterior_posterior,0.38258336649866653
Pre,20,alpha,within_left,0.5564626495793306
Pre,20,alpha,within_right,0.5410560455925435
Pre,20,alpha,interhemispheric,0.31376069577362137
Pre,20,alpha,anterior_posterior,0.5462696280463697
Pre,21,alpha,within_left,0.4240980419163328
Pre,21,alpha,within_right,0.39940988279710227
Pre,21,alpha,interhemispheric,0.23181794724866092
Pre,21,alpha,anterior_posterior,0.44956962425609986
Pre,22,alpha,within_left,0.41837232345936787
Pre,22,alpha,within_right,0.30745050224600257
Pre,22,alpha,interhemispheric,0.3493198095636485
Pre,22,alpha,anterior_posterior,0.41384850117411487
Pre,23,alpha,within_left,0.515398684715804
Pre,23,alpha,within_right,0.46106301198414484
Pre,23,alpha,interhemispheric,0.4961515383365597
Pre,23,alpha,anterior_posterior,0.5673990407657559
